ID,Overall Points,Overall Grade
15,87.2,B
25,86.4,B
35,90.3,A
125,93.3,A
235,77.3,C
365,84.2,B
370,86.5,B
395,88.1,B
515,80.2,B
615,84.9,B
630,94.7,A
665,86.5,B
670,88.4,B
750,85.6,B
755,84,B
775,84.8,B
815,87.6,B
875,80.4,B
940,86.4,B
1000,76.7,C
1010,86.3,B
1125,87.1,B
1150,83.4,B
1160,83,B
1170,74.4,C
1180,91.2,A
1300,82.9,B
1315,100.2,A
1375,91.4,A
1560,91.1,A
1600,79.1,C
1620,90.5,A
1655,85,B
1730,78.2,C
1805,90.4,A
1820,86.8,B
1875,88.7,B
1885,77.7,C
1895,81.7,B
1900,86.1,B
1910,86.3,B
1940,88.6,B
1970,76.3,C
2040,92.7,A
2110,84.1,B
2120,89.2,B
2155,84.5,B
2260,85.6,B
2275,84.7,B
2285,90.8,A
2305,76.7,C
2315,78.7,C
2395,84.6,B
2400,89.6,B
2435,79.4,C
2440,89.6,B
2455,87.2,B
2475,83.6,B
2650,75.4,C
2725,83.2,B
2735,78.2,C
2765,90,A
2825,87.8,B
2855,77.9,C
2865,70.2,C
2920,87.2,B
2940,87.7,B
2950,79.7,C
2960,85,B
2980,81.1,B
3025,86,B
3055,91.7,A
3060,98.3,A
3070,91.1,A
3115,90,A
3125,83.9,B
3135,90.5,A
3145,96.6,A
3160,89.4,B
3180,87.9,B
3190,93.8,A
3295,90.5,A
3305,99,A
3315,88.4,B
3325,93.1,A
3330,96.8,A
3335,89.3,B
3405,78.5,C
3415,74.3,C
3435,89.8,B
3445,80,B
3455,82.8,B
3460,78,C
3470,89.8,B
3480,90.6,A
3490,92.3,A
3500,67.8,D
3625,83.4,B
3640,67.7,D
3675,78,C
3695,83.8,B
3710,76.7,C
3785,83.8,B
3815,86.2,B
3945,83.4,B
3995,75.9,C
4000,71.8,C
4015,81.6,B
4145,88.2,B
4205,92.9,A
4215,81,B
4225,80.2,B
4245,89.2,B
4255,89.3,B
4315,80.6,B
4325,88.6,B
4335,76.9,C
4345,75.2,C
4415,82.9,B
4445,83.6,B
4455,79.4,C
4515,87.9,B
4525,94.2,A
4535,80.1,B
4580,87.2,B
4590,73.3,C
4600,80.5,B
4615,88.7,B
4645,90.6,A
4650,77.3,C
4660,90,A
4680,83.8,B
4700,83.7,B
4720,84.4,B
4730,89.4,B
4740,95.7,A
4760,80.1,B
4805,88.5,B
4860,78.2,C
4915,85.6,B
4925,76.5,C
4940,86.1,B
4945,85.4,B
5075,80,B
5085,74.6,C
5245,82.7,B
5255,88.9,B
5265,73.2,C
5275,72.4,C
5280,68.3,D
5300,73.8,C
5310,88.5,B
5330,78.2,C
5340,87.1,B
5350,79.9,C
5360,69,D
5370,77.4,C
5375,75.9,C
5380,72.4,C
5385,64.7,D
5400,96.4,A
5455,76.9,C
5470,80.4,B
5480,87.3,B
5485,83,B
5495,96.4,A
5520,79.8,C
5525,86.1,B
5615,80.9,B
5620,84.5,B
5625,77.3,C
5635,80.1,B
5705,94.2,A
5740,90.6,A
5835,81,B
5845,89.2,B
5855,81.2,B
5900,84.4,B
5910,76.3,C
5925,82.1,B
5930,87.9,B
5945,79.8,C
5995,78,C
6055,76.3,C
6065,88,B
6080,83.6,B
6145,87.7,B
6155,78.7,C
6160,80.6,B
6195,79.8,C
6260,78.4,C
6325,92,A
6340,59.3,F
6350,90.2,A
6375,81.9,B
6445,79.7,C
6460,85.2,B
6470,90.6,A
6510,90.9,A
6520,86.2,B
6530,93.4,A
6550,82.8,B
6560,92.1,A
6590,92.2,A
6600,92,A
6620,83,B
6630,79.1,C
6705,81.4,B
6715,88.9,B
6750,87.5,B
6755,80.6,B
6795,65.1,D
6805,73.1,C
6820,88.9,B
6825,82.9,B
6835,75.8,C
6865,84.6,B
6895,90.8,A
6900,84.8,B
6995,83.7,B
7150,85.4,B
7175,91.8,A
7215,83.3,B
7230,77.4,C
7255,81,B
7285,85.6,B
7350,81.5,B
7360,94.5,A
7365,88.4,B
7385,92.7,A
7445,85.5,B
7495,73.2,C
7515,82.1,B
7525,85,B
7605,82.7,B
7610,72,C
7615,84.7,B
7645,87.1,B
7775,75.5,C
7855,75.4,C
7865,81.9,B
7875,95.8,A
7935,82.8,B
7945,86.4,B
7950,85.3,B
7995,78.7,C
8010,77.5,C
8020,82.8,B
8045,86,B
8060,76.6,C
8115,84,B
8205,84.2,B
8215,84.2,B
8220,79.7,C
8305,82.6,B
8355,75.7,C
8360,86.3,B
8375,87.5,B
8385,77.2,C
8425,81.4,B
8435,85.6,B
8445,89.5,B
8525,90.1,A
8535,88.9,B
8565,83.9,B
8625,82.8,B
8665,81.7,B
